id,asset,risk_score,emotion_bias,investment_amount,market_event
1,Stocks,9,Calm,377022,Correction
2,Stocks,31,Calm,415629,Crash
3,Real Estate,11,Confirmation,336471,Crash
4,Stocks,52,FOMO,97093,Correction
5,Crypto,36,Panic,195580,Correction
6,Real Estate,2,Confirmation,293106,Correction
7,Stocks,72,Confirmation,97363,Volatile
8,Stocks,52,Calm,224198,Crash
9,Stocks,87,FOMO,324124,Correction
10,Stocks,83,Panic,189408,Bull Run
11,Commodities,32,Confirmation,340305,Bull Run
12,Crypto,37,FOMO,64368,Crash
13,Real Estate,85,FOMO,448586,Correction
14,Real Estate,60,Herd,376673,Correction
15,Gold,85,Loss Aversion,379211,Bull Run
16,Gold,67,Panic,61482,Volatile
17,Crypto,72,FOMO,91218,Crash
18,Bonds,100,FOMO,428887,Correction
19,Bonds,57,Herd,163902,Sideways
20,Commodities,90,Panic,43821,Crash
21,Commodities,100,FOMO,304376,Bull Run
22,Commodities,31,FOMO,174379,Correction
23,Crypto,57,Herd,49706,Sideways
24,Gold,91,Loss Aversion,426303,Crash
25,Bonds,48,Confirmation,107994,Crash
26,Commodities,2,FOMO,201766,Bull Run
27,Real Estate,93,Loss Aversion,203429,Correction
28,Gold,68,Herd,127285,Correction
29,Stocks,60,Herd,147192,Correction
30,Stocks,99,Loss Aversion,193477,Correction
31,Real Estate,7,Confirmation,336809,Crash
32,Commodities,4,Calm,18345,Volatile
33,Bonds,64,Loss Aversion,384458,Correction
34,Crypto,23,Calm,446463,Sideways
35,Real Estate,82,Herd,21229,Crash
36,Real Estate,66,Loss Aversion,458141,Crash
37,Crypto,59,Calm,17145,Sideways
38,Gold,50,Loss Aversion,475243,Correction
39,Stocks,72,Herd,17362,Bull Run
40,Commodities,36,FOMO,71591,Volatile
41,Crypto,11,Panic,156532,Correction
42,Bonds,94,Panic,44410,Bull Run
43,Real Estate,96,Calm,26893,Bull Run
44,Bonds,94,FOMO,211862,Volatile
45,Commodities,42,Calm,423138,Bull Run
46,Commodities,62,Panic,82385,Sideways
47,Bonds,5,Confirmation,69463,Correction
48,Crypto,91,Panic,49824,Sideways
49,Crypto,23,Loss Aversion,85685,Crash
50,Commodities,9,Calm,22514,Correction
51,Bonds,22,Loss Aversion,72909,Volatile
52,Bonds,19,Herd,15118,Sideways
53,Bonds,41,Calm,19412,Correction
54,Commodities,12,Herd,415167,Correction
55,Crypto,45,Calm,92764,Bull Run
56,Bonds,19,Loss Aversion,87260,Bull Run
57,Gold,28,Confirmation,118191,Volatile
58,Stocks,73,Loss Aversion,47011,Bull Run
59,Stocks,31,Loss Aversion,43507,Bull Run
60,Real Estate,33,Herd,420759,Crash
61,Stocks,50,FOMO,430031,Volatile
62,Crypto,62,Calm,458827,Sideways
63,Bonds,62,Panic,73770,Sideways
64,Gold,12,Loss Aversion,387049,Sideways
65,Crypto,91,FOMO,423161,Bull Run
66,Bonds,3,Loss Aversion,366458,Volatile
67,Gold,99,Herd,136770,Crash
68,Commodities,82,Confirmation,188048,Crash
69,Crypto,81,Confirmation,188767,Bull Run
70,Bonds,81,Panic,50525,Sideways
71,Crypto,14,Loss Aversion,491296,Sideways
72,Crypto,82,Calm,388724,Sideways
73,Commodities,20,Confirmation,376947,Crash
74,Crypto,11,Confirmation,464616,Bull Run
75,Stocks,94,Confirmation,303250,Bull Run
76,Bonds,82,Calm,158555,Sideways
77,Real Estate,18,Calm,454634,Crash
78,Gold,30,Confirmation,392126,Volatile
79,Real Estate,37,Confirmation,142900,Bull Run
80,Gold,17,FOMO,375185,Bull Run
81,Commodities,49,Herd,488511,Correction
82,Bonds,54,Confirmation,282262,Correction
83,Stocks,21,FOMO,469453,Sideways
84,Real Estate,45,Calm,403849,Sideways
85,Gold,38,FOMO,96712,Sideways
86,Bonds,55,Confirmation,56012,Crash
87,Real Estate,76,Herd,336946,Sideways
88,Gold,13,Panic,23655,Correction
89,Bonds,77,Calm,229240,Crash
90,Real Estate,86,FOMO,70591,Volatile
91,Crypto,64,Herd,109890,Crash
92,Real Estate,33,Herd,306426,Sideways
93,Real Estate,60,Panic,113810,Correction
94,Crypto,77,Calm,242672,Sideways
95,Gold,68,FOMO,203980,Bull Run
96,Commodities,13,FOMO,338242,Correction
97,Commodities,45,Loss Aversion,357727,Correction
98,Real Estate,52,Calm,397135,Correction
99,Gold,98,Panic,260351,Crash
100,Gold,37,Loss Aversion,426118,Volatile
101,Real Estate,46,Calm,412594,Bull Run
102,Bonds,49,FOMO,80732,Sideways
103,Bonds,53,Calm,151877,Crash
104,Gold,30,Confirmation,66536,Sideways
105,Bonds,60,FOMO,279508,Volatile
106,Gold,84,Herd,80514,Crash
107,Commodities,81,Panic,483220,Sideways
108,Crypto,33,Loss Aversion,234524,Sideways
109,Commodities,73,Calm,415792,Correction
110,Stocks,92,Loss Aversion,297251,Sideways
111,Stocks,60,Calm,451953,Crash
112,Commodities,81,Confirmation,427429,Crash
113,Crypto,92,Loss Aversion,355638,Sideways
114,Commodities,12,Confirmation,389717,Correction
115,Real Estate,4,Loss Aversion,169940,Bull Run
116,Stocks,100,Loss Aversion,39950,Bull Run
117,Commodities,50,Panic,487069,Crash
118,Crypto,67,Herd,83367,Bull Run
119,Bonds,9,Panic,389327,Crash
120,Gold,30,FOMO,11303,Correction
121,Bonds,100,Calm,495946,Sideways
122,Crypto,30,Herd,267279,Correction
123,Real Estate,21,Loss Aversion,195758,Bull Run
124,Crypto,85,Loss Aversion,295846,Bull Run
125,Bonds,70,Panic,166468,Correction
126,Bonds,54,Herd,262102,Sideways
127,Commodities,87,Calm,203909,Correction
128,Bonds,53,Confirmation,19262,Correction
129,Crypto,70,Herd,246796,Correction
130,Stocks,10,Loss Aversion,130912,Bull Run
131,Gold,95,Calm,414987,Correction
132,Real Estate,64,Confirmation,133350,Bull Run
133,Bonds,28,Panic,79288,Volatile
134,Real Estate,55,Calm,233561,Crash
135,Gold,93,Loss Aversion,382272,Correction
136,Gold,43,Herd,338841,Crash
137,Stocks,79,Panic,175995,Crash
138,Real Estate,68,Herd,41733,Sideways
139,Real Estate,85,Herd,12138,Sideways
140,Gold,86,FOMO,135152,Bull Run
141,Commodities,1,Calm,349548,Crash
142,Real Estate,16,Panic,120605,Volatile
143,Crypto,55,Panic,423211,Volatile
144,Crypto,50,Loss Aversion,153972,Bull Run
145,Crypto,83,Confirmation,496901,Correction
146,Commodities,68,FOMO,369709,Volatile
147,Gold,57,Panic,153041,Volatile
148,Bonds,26,Panic,233916,Sideways
149,Bonds,27,Loss Aversion,290284,Volatile
150,Stocks,65,Herd,30585,Volatile
151,Bonds,77,Herd,366820,Bull Run
152,Commodities,92,Panic,475598,Bull Run
153,Crypto,82,Calm,345438,Bull Run
154,Crypto,26,Panic,162370,Bull Run
155,Commodities,16,Herd,468230,Volatile
156,Gold,19,Loss Aversion,379320,Bull Run
157,Bonds,27,Herd,310656,Bull Run
158,Real Estate,56,Panic,155742,Volatile
159,Crypto,38,Herd,495161,Crash
160,Real Estate,40,Calm,93605,Crash
161,Bonds,80,Herd,409488,Bull Run
162,Stocks,28,Loss Aversion,171283,Correction
163,Stocks,5,Calm,421592,Sideways
164,Crypto,53,Confirmation,135995,Volatile
165,Stocks,99,Confirmation,404640,Bull Run
166,Bonds,46,Loss Aversion,369883,Volatile
167,Real Estate,49,Confirmation,446314,Volatile
168,Real Estate,38,Loss Aversion,431402,Volatile
169,Stocks,93,Herd,10009,Bull Run
170,Commodities,59,Loss Aversion,348285,Sideways
171,Bonds,66,Panic,18472,Bull Run
172,Crypto,39,FOMO,103022,Volatile
173,Bonds,59,Calm,99460,Sideways
174,Gold,19,Confirmation,241666,Crash
175,Stocks,95,Calm,340033,Sideways
176,Stocks,68,Panic,393355,Sideways
177,Crypto,16,FOMO,62179,Volatile
178,Bonds,25,Confirmation,307919,Volatile
179,Gold,86,Calm,30950,Correction
180,Crypto,94,Confirmation,17851,Sideways
181,Bonds,5,Herd,162204,Volatile
182,Bonds,87,FOMO,339277,Correction
183,Gold,74,Herd,101472,Sideways
184,Real Estate,44,Confirmation,392640,Sideways
185,Stocks,59,Confirmation,246004,Volatile
186,Commodities,56,Calm,303439,Volatile
187,Real Estate,18,Panic,449437,Volatile
188,Commodities,43,Confirmation,360467,Bull Run
189,Crypto,43,Panic,465956,Bull Run
190,Bonds,77,Calm,212008,Volatile
191,Commodities,58,Herd,277461,Crash
192,Bonds,34,Calm,151058,Sideways
193,Stocks,22,FOMO,226148,Crash
194,Stocks,64,Panic,440019,Correction
195,Real Estate,1,Calm,389366,Volatile
196,Stocks,39,Confirmation,273921,Sideways
197,Crypto,15,Herd,31412,Crash
198,Gold,57,Herd,278894,Crash
199,Stocks,74,Confirmation,31365,Bull Run
200,Gold,98,Herd,469260,Crash
201,Crypto,75,Confirmation,73407,Crash
202,Bonds,43,FOMO,63515,Bull Run
203,Commodities,80,Confirmation,330489,Correction
204,Stocks,6,FOMO,6540,Correction
205,Stocks,88,Calm,343285,Correction
206,Bonds,71,FOMO,331690,Volatile
207,Commodities,30,Loss Aversion,150370,Bull Run
208,Gold,86,Herd,390216,Correction
209,Gold,23,Panic,458877,Bull Run
210,Real Estate,63,Loss Aversion,487635,Sideways
211,Gold,72,Confirmation,396529,Crash
212,Gold,10,Herd,418771,Sideways
213,Bonds,87,Confirmation,207002,Volatile
214,Commodities,82,Calm,354016,Volatile
215,Commodities,61,Confirmation,430246,Sideways
216,Crypto,39,Calm,485012,Crash
217,Bonds,59,Herd,457091,Volatile
218,Stocks,81,Panic,289313,Sideways
219,Gold,94,Calm,361126,Crash
220,Bonds,24,Confirmation,293933,Bull Run
221,Real Estate,78,Panic,306062,Crash
222,Bonds,73,Confirmation,318296,Correction
223,Gold,69,Calm,443391,Volatile
224,Stocks,18,Confirmation,252366,Bull Run
225,Gold,2,Confirmation,352692,Crash
226,Stocks,51,Panic,124663,Bull Run
227,Gold,13,Panic,462615,Correction
228,Stocks,36,FOMO,255517,Volatile
229,Bonds,81,Calm,497321,Sideways
230,Stocks,4,Calm,494376,Volatile
231,Crypto,51,Loss Aversion,327824,Volatile
232,Real Estate,5,Panic,104068,Bull Run
233,Commodities,23,Calm,80592,Sideways
234,Gold,6,Calm,362957,Correction
235,Bonds,19,Confirmation,481067,Sideways
236,Gold,6,Herd,90187,Crash
237,Bonds,72,Herd,337599,Sideways
238,Bonds,58,Loss Aversion,433661,Correction
239,Stocks,67,FOMO,287891,Volatile
240,Crypto,39,Loss Aversion,218177,Bull Run
241,Commodities,81,Loss Aversion,168212,Crash
242,Gold,74,Loss Aversion,249889,Sideways
243,Gold,41,Calm,187381,Correction
244,Crypto,73,Calm,305743,Volatile
245,Bonds,16,Panic,343503,Bull Run
246,Gold,16,FOMO,358211,Volatile
247,Gold,3,Panic,488611,Volatile
248,Crypto,37,Calm,297486,Correction
249,Crypto,36,Panic,66732,Correction
250,Stocks,68,Herd,446289,Volatile
251,Crypto,21,FOMO,421993,Volatile
252,Commodities,5,Panic,458363,Bull Run
253,Commodities,89,Calm,468103,Crash
254,Stocks,51,Loss Aversion,384689,Correction
255,Commodities,100,Confirmation,327162,Correction
256,Real Estate,84,FOMO,186421,Volatile
257,Stocks,9,Herd,436751,Crash
258,Gold,73,Loss Aversion,342521,Volatile
259,Stocks,48,Loss Aversion,175730,Volatile
260,Real Estate,4,Herd,215394,Correction
261,Real Estate,54,Herd,459663,Correction
262,Crypto,5,Confirmation,471177,Volatile
263,Gold,99,Calm,423030,Sideways
264,Bonds,5,Loss Aversion,225155,Crash
265,Stocks,26,Confirmation,432111,Correction
266,Stocks,97,FOMO,254622,Bull Run
267,Bonds,9,Calm,387703,Sideways
268,Gold,4,Confirmation,417128,Bull Run
269,Bonds,96,Calm,328415,Sideways
270,Commodities,46,Calm,244553,Bull Run
271,Crypto,20,Loss Aversion,167916,Crash
272,Gold,57,Loss Aversion,64647,Correction
273,Real Estate,67,Panic,428156,Crash
274,Commodities,34,FOMO,425700,Sideways
275,Bonds,65,Confirmation,356010,Bull Run
276,Crypto,27,Confirmation,278423,Bull Run
277,Gold,3,Confirmation,142768,Bull Run
278,Gold,71,Loss Aversion,89499,Volatile
279,Crypto,52,FOMO,365817,Sideways
280,Commodities,53,Herd,440553,Bull Run
281,Commodities,32,Calm,310680,Crash
282,Bonds,54,Confirmation,252667,Volatile
