expense_name,category,cost_in_rs,frequency,ground_truth_type,decision_time_sec,user_decision,correct
Health Insurance,Entertainment,2700,one-time,want,0.96,need,0
Health Insurance,Housing,7188,one-time,need,2.2,need,1
Salon Visit,Food,214,one-time,need,1.01,need,1
Party Expenses,Travel,9471,daily,want,3.12,need,0
Gadgets,Medical,4921,weekly,need,1.78,need,1
Hotel Stay,Shopping,4356,one-time,want,3.36,need,0
Medicines,Lifestyle,1627,monthly,want,2.84,want,1
Fast Food,Entertainment,365,weekly,want,1.03,want,1
School Fees,Housing,16231,daily,need,3.19,need,1
Insurance Premium,Utilities,3937,one-time,need,1.07,need,1
Rent,Medical,3936,one-time,need,2.18,want,0
School Fees,Shopping,5338,daily,want,1.79,need,0
Emergency Meds,Food,815,weekly,need,3.2,want,0
Fast Food,Food,1051,weekly,need,0.77,need,1
Internet Plan,Education,5439,one-time,need,0.52,need,1
Taxi Ride,Travel,5596,daily,want,3.04,want,1
Clothes Shopping,Shopping,4340,one-time,want,0.8,want,1
Bus Pass,Housing,8029,daily,need,0.54,need,1
Doctor Visit,Lifestyle,408,monthly,want,2.32,want,1
Salon Visit,Food,367,monthly,need,2.99,need,1
Dining Out,Shopping,4646,one-time,want,1.99,want,1
Travel Tickets,Lifestyle,1863,one-time,want,0.94,want,1
School Fees,Travel,13770,monthly,want,2.7,want,1
Mobile Recharge,Lifestyle,1081,monthly,want,2.3,want,1
Laptop EMI,Medical,1982,monthly,need,3.37,need,1
Insurance Premium,Housing,13828,monthly,need,1.15,need,1
Emergency Meds,Housing,14927,daily,need,0.67,need,1
Doctor Visit,Medical,983,monthly,need,3.21,need,1
Gift Purchase,Travel,4092,one-time,want,1.41,want,1
Concert Ticket,Medical,1194,one-time,need,2.83,need,1
Streaming Subscription,Medical,2413,daily,need,3.3,need,1
Insurance Premium,Lifestyle,2543,monthly,want,1.27,want,1
Gift Purchase,Entertainment,1582,daily,want,1.5,want,1
Phone EMI,Housing,6790,weekly,need,1.02,need,1
New Sneakers,Travel,2829,weekly,want,1.48,want,1
Petrol,Education,7384,weekly,need,1.89,need,1
Laptop EMI,Utilities,3327,weekly,need,2.0,need,1
Snacks,Travel,8512,monthly,want,3.42,want,1
Health Insurance,Food,748,one-time,need,0.71,need,1
Internet Plan,Utilities,817,one-time,need,1.12,need,1
Concert Ticket,Education,18790,one-time,need,1.28,need,1
Coffee,Utilities,633,monthly,need,0.79,need,1
Streaming Subscription,Food,897,monthly,need,0.84,need,1
Snacks,Shopping,4133,monthly,want,1.13,want,1
Gift Purchase,Utilities,1046,weekly,need,2.94,need,1
Doctor Visit,Food,1771,one-time,need,2.34,need,1
Medicines,Housing,17053,monthly,need,3.44,want,0
Electricity Bill,Food,1505,monthly,need,0.85,need,1
Movie Night,Travel,407,weekly,want,3.04,want,1
Gym Membership,Utilities,2499,one-time,need,3.44,need,1
Groceries,Education,2171,monthly,need,2.97,need,1
Gadgets,Lifestyle,791,weekly,want,3.34,want,1
Streaming Subscription,Travel,9881,daily,want,1.29,want,1
Water Bill,Medical,4117,weekly,need,1.51,need,1
Concert Ticket,Food,685,monthly,need,1.07,need,1
Salon Visit,Travel,3808,daily,want,1.07,want,1
Gym Membership,Utilities,2761,daily,need,0.68,need,1
Phone EMI,Utilities,958,weekly,need,0.82,need,1
Electricity Bill,Travel,10935,weekly,want,1.06,want,1
Rent,Shopping,5933,one-time,want,2.32,want,1
Clothes Shopping,Lifestyle,687,weekly,want,1.59,need,0
Snacks,Housing,16058,one-time,need,2.9,want,0
Party Expenses,Shopping,4323,weekly,want,0.61,want,1
Gift Purchase,Medical,1881,daily,need,2.03,need,1
Party Expenses,Food,1571,daily,need,1.26,need,1
Laptop EMI,Utilities,2089,one-time,need,0.59,need,1
Movie Night,Lifestyle,669,one-time,want,2.51,want,1
Internet Plan,Education,12798,one-time,need,0.9,need,1
Insurance Premium,Food,2283,daily,need,1.09,need,1
Hotel Stay,Education,18552,monthly,need,2.64,need,1
Gift Purchase,Entertainment,802,monthly,want,1.56,want,1
Rent,Housing,14051,one-time,need,0.56,want,0
Insurance Premium,Utilities,3465,monthly,need,0.94,want,0
Online Course,Travel,4895,one-time,want,1.88,want,1
Groceries,Utilities,2011,daily,need,0.78,need,1
Taxi Ride,Housing,5487,daily,need,1.51,need,1
Bus Pass,Medical,242,monthly,need,3.14,want,0
Streaming Subscription,Food,1206,one-time,need,2.49,need,1
Phone EMI,Shopping,2800,one-time,want,0.62,want,1
Hotel Stay,Housing,8127,monthly,need,0.6,need,1
Taxi Ride,Medical,2208,monthly,need,1.78,need,1
Insurance Premium,Housing,6670,one-time,need,2.24,need,1
Water Bill,Education,10092,one-time,need,3.29,need,1
Movie Night,Travel,7869,one-time,want,3.07,want,1
Party Expenses,Travel,5976,daily,want,1.99,need,0
Snacks,Education,12697,daily,need,3.25,want,0
Groceries,Medical,1931,monthly,need,3.33,need,1
Medicines,Entertainment,640,weekly,want,1.75,want,1
Party Expenses,Entertainment,2650,one-time,want,2.99,want,1
Medicines,Housing,10564,weekly,need,3.37,need,1
Gift Purchase,Medical,3270,monthly,need,2.69,need,1
Laptop EMI,Shopping,4833,one-time,want,3.28,want,1
Streaming Subscription,Entertainment,2320,weekly,want,2.71,want,1
Bus Pass,Food,762,monthly,need,0.65,need,1
Gadgets,Shopping,6781,one-time,want,3.28,need,0
School Fees,Food,827,weekly,need,2.58,need,1
Gadgets,Food,151,monthly,need,0.55,need,1
Bus Pass,Housing,5947,one-time,need,2.22,need,1
Hotel Stay,Education,7189,daily,need,0.75,need,1
Rent,Travel,4560,monthly,want,2.47,want,1
Electricity Bill,Entertainment,1945,daily,want,3.47,want,1
Dining Out,Shopping,487,weekly,want,1.58,want,1
Online Course,Entertainment,463,monthly,want,0.75,want,1
Laptop EMI,Food,2198,weekly,need,1.5,need,1
Electricity Bill,Education,5590,daily,need,1.04,want,0
Petrol,Medical,4496,weekly,need,2.88,need,1
Rent,Travel,6957,daily,want,3.11,want,1
Gift Purchase,Travel,14205,monthly,want,3.16,want,1
Streaming Subscription,Entertainment,2560,one-time,want,3.07,want,1
Fast Food,Travel,7247,daily,want,0.58,want,1
Groceries,Medical,2961,weekly,need,1.38,need,1
Concert Ticket,Education,12328,one-time,need,2.77,need,1
Petrol,Food,1057,monthly,need,2.91,need,1
Movie Night,Utilities,431,one-time,need,1.57,need,1
Doctor Visit,Shopping,6575,monthly,want,2.55,want,1
Phone EMI,Food,419,weekly,need,2.42,want,0
Movie Night,Shopping,4238,daily,want,3.49,want,1
Fast Food,Medical,312,one-time,need,0.56,need,1
Petrol,Entertainment,343,one-time,want,3.09,want,1
Gadgets,Housing,15264,weekly,need,2.75,need,1
Party Expenses,Travel,4558,weekly,want,1.05,want,1
Groceries,Travel,1098,monthly,want,1.39,need,0
Streaming Subscription,Food,902,monthly,need,2.48,need,1
New Sneakers,Lifestyle,1518,daily,want,2.35,want,1
Gadgets,Lifestyle,961,daily,want,3.16,want,1
Laptop EMI,Housing,16075,daily,need,2.21,need,1
Concert Ticket,Medical,3870,monthly,need,1.45,need,1
Fast Food,Utilities,1002,daily,need,3.32,need,1
Petrol,Travel,12004,weekly,want,2.05,want,1
Phone EMI,Utilities,3384,monthly,need,3.49,need,1
Water Bill,Entertainment,2945,daily,want,1.07,want,1
Phone EMI,Utilities,3438,weekly,need,1.18,need,1
Doctor Visit,Travel,1808,one-time,want,2.14,want,1
Online Course,Shopping,5151,daily,want,0.53,need,0
Snacks,Entertainment,443,daily,want,1.56,need,0
Coffee,Education,19475,monthly,need,2.41,need,1
Medicines,Medical,1004,daily,need,0.75,need,1
Travel Tickets,Education,13057,one-time,need,3.48,need,1
Groceries,Travel,2440,monthly,want,3.44,need,0
Phone EMI,Food,309,one-time,need,1.39,need,1
Coffee,Lifestyle,1183,monthly,want,2.7,want,1
Movie Night,Shopping,6426,weekly,want,1.82,need,0
Hotel Stay,Lifestyle,229,monthly,want,1.96,want,1
Water Bill,Medical,2579,daily,need,3.02,need,1
Health Insurance,Shopping,3738,daily,want,3.4,want,1
Party Expenses,Housing,10580,one-time,need,1.54,need,1
Groceries,Travel,4149,monthly,want,1.03,want,1
Movie Night,Entertainment,701,monthly,want,1.89,want,1
Rent,Travel,12502,monthly,want,2.3,want,1
Doctor Visit,Lifestyle,2605,one-time,want,2.49,want,1
Water Bill,Travel,3717,monthly,want,1.65,want,1
Doctor Visit,Education,14728,weekly,need,2.52,want,0
Gadgets,Entertainment,2824,one-time,want,1.15,want,1
Online Course,Education,3500,weekly,need,2.44,need,1
New Sneakers,Food,358,monthly,need,2.18,need,1
