user_id,session_id,module,time_spent_sec,quiz_score_0_3,wallet_checks_completed_0_4,tx_trace_performed,quiz_correct_ratio,interaction_count,risk_awareness_score_0_100,reward_unlocked,timestamp,notes
user_2824,d11552b8-84b8-4875-a67d-a3757ebaffcf,Blockchain Fundamentals,581,3,1,True,1.0,26,68,1,2025-11-09T12:26:20,
user_9928,871b8642-6df1-4448-9b8a-18b8fa2a410b,Smart Contract Basics,859,2,2,False,0.67,38,63,0,2025-11-04T19:51:35,
user_2519,411c8458-dd3e-45a2-87f0-86bd6cef540b,Smart Contract Basics,767,1,0,False,0.33,55,19,0,2025-11-27T21:26:25,
user_4150,1f7630e0-9d40-44d2-b24f-070eb1912fb2,Wallet Security 101,346,0,2,False,0.0,18,23,0,2025-11-17T20:04:06,
user_6820,c181c595-9971-4823-a7b2-9d03ff8f884c,Blockchain Fundamentals,573,1,1,False,0.33,52,35,0,2025-11-15T14:35:35,
user_1916,f27fe207-b965-4fa7-8b2e-3716b3e45570,Smart Contract Basics,432,1,1,False,0.33,51,33,0,2025-11-22T03:22:39,
user_3340,a8b6eda7-624b-4310-89eb-a9066af449d9,Smart Contract Basics,652,0,0,True,0.0,44,11,0,2025-11-05T04:31:36,
user_3621,ac3c609c-eb54-433c-aa43-b51d63f47f5e,Wallet Security 101,732,1,3,False,0.33,22,57,0,2025-11-25T22:23:31,
user_5371,12fd0424-ef76-4449-a2db-e5d65a220d5b,Wallet Security 101,648,3,2,False,1.0,19,82,0,2025-11-24T12:14:47,
user_4258,871fd147-a5d6-4c4e-a3ff-22e8f6e9dd22,Blockchain Fundamentals,465,0,3,False,0.0,29,36,0,2025-11-11T11:45:30,
user_1949,a7bfca35-6caa-4ded-936c-0ccb22aacd4a,Smart Contract Basics,980,2,2,False,0.67,54,66,0,2025-11-29T07:30:34,
user_7932,1f6ea8bb-4b1d-4485-b390-a7f4e08f9e05,DeFi Risk Assessment,952,0,0,False,0.0,33,15,0,2025-11-10T18:34:03,
user_2049,a7a558a6-77dd-441f-962c-3a796fcfdddb,Smart Contract Basics,1002,3,3,False,1.0,51,90,1,2025-11-10T06:22:49,
user_9834,10336eed-48f3-4555-8347-aa59eb38cf77,Blockchain Fundamentals,884,3,1,False,1.0,20,77,1,2025-11-04T15:26:29,
user_1993,360d12c1-d161-494f-b27a-12018efa603a,Smart Contract Basics,747,2,2,False,0.67,19,54,0,2025-11-26T13:57:06,
user_2604,2629a131-cb37-4268-b570-b9417662cf0b,Blockchain Fundamentals,853,1,2,False,0.33,20,50,0,2025-11-07T20:35:33,
user_7209,05ded235-1bb6-4f09-ab2f-4883bd569eaa,Blockchain Fundamentals,699,2,0,False,0.67,23,44,0,2025-11-02T16:54:51,
user_9883,1e3b9c97-d359-4451-be96-44042db776a8,Blockchain Fundamentals,621,3,2,False,1.0,51,83,1,2025-11-03T03:57:23,
user_4853,33a03b9a-64fe-459e-9c0b-03a3c75fe603,Smart Contract Basics,983,3,0,False,1.0,39,60,1,2025-11-14T10:17:53,
user_8491,8378efd9-2108-4ef2-a3f6-ad708edd1d90,Smart Contract Basics,474,1,2,False,0.33,14,51,0,2025-11-11T17:23:18,
user_7054,c7e0a4bf-3f69-4dc7-aa7b-20c162237ee5,Smart Contract Basics,848,1,1,False,0.33,59,44,0,2025-11-12T16:54:05,
user_2891,f85b46c4-c651-4e23-ad39-64d877954f40,DeFi Risk Assessment,1160,3,2,False,1.0,25,86,1,2025-11-04T08:18:42,
user_7939,676dec66-8bca-4d97-adf6-074371f6b5b2,Wallet Security 101,345,1,3,True,0.33,12,63,0,2025-11-07T02:26:13,
user_7049,c0f53bc1-3bf8-492d-9e4b-69bd0e4dc2eb,DeFi Protocol Tour,751,2,1,False,0.67,37,50,0,2025-11-27T01:05:16,
user_7658,ce35b375-82d3-46ee-ae62-558f4e9deb54,DeFi Risk Assessment,1167,1,1,False,0.33,43,37,0,2025-11-11T21:54:43,
user_5371,b245cb7e-1a29-4615-9322-8d4875c78ed2,Blockchain Fundamentals,410,2,2,False,0.67,23,58,0,2025-11-01T00:20:50,
user_4164,0203ff35-88e2-4233-8a0b-a514ded1bf17,Smart Contract Basics,685,1,0,False,0.33,21,29,0,2025-11-28T01:12:44,
user_5349,91a76b6f-96c9-4720-8fe5-b0294fe2b2ff,Blockchain Fundamentals,744,2,2,True,0.67,42,60,0,2025-10-30T22:44:48,
user_9821,b539e5c8-5bea-42f2-a59f-3d188e1c6f02,Wallet Security 101,1059,3,2,True,1.0,39,72,0,2025-11-15T16:48:25,
user_5844,922c5eec-e99b-499c-bfd6-03ec8b5172aa,DeFi Protocol Tour,796,0,1,True,0.0,34,19,0,2025-11-10T01:39:25,
user_6279,6d374753-bc05-468e-814d-a5870696de58,DeFi Protocol Tour,1052,1,1,False,0.33,25,40,0,2025-11-14T22:26:28,
user_4680,b6253691-1fae-4f37-82f7-8e82dd26fc7e,Wallet Security 101,450,2,3,False,0.67,34,65,1,2025-11-23T20:46:03,
user_7547,76fa3e5b-d90f-4567-a983-682cd08a7510,Smart Contract Basics,1071,2,1,False,0.67,49,56,0,2025-11-05T18:10:09,
user_8478,f1085ac5-215f-45c8-9e05-181ce2a2f20f,Blockchain Fundamentals,775,2,0,False,0.67,50,44,0,2025-11-21T12:18:12,
user_3607,5e790486-f20f-4b58-a435-7f81ce3fc6f1,Wallet Security 101,786,1,3,False,0.33,34,57,0,2025-11-26T02:05:57,
user_2320,d7f804fb-3f5c-4234-aae5-83df9d139d9e,Blockchain Fundamentals,536,3,2,False,1.0,35,84,1,2025-11-28T05:16:41,
user_1320,fa7c2a5a-6971-4536-a278-4cfd1b5f6df8,Wallet Security 101,1083,2,2,False,0.67,55,66,0,2025-11-23T13:36:17,
user_4595,e380271c-f502-4799-991f-4dc8854d294f,Smart Contract Basics,897,3,2,False,1.0,18,69,1,2025-11-18T23:50:35,
user_1444,f35c0364-da9e-4832-873d-0e0942d282f4,Blockchain Fundamentals,738,3,2,False,1.0,41,79,1,2025-10-31T19:21:34,
user_9837,90788813-3eba-440c-bfa4-c7bf48e371f7,Blockchain Fundamentals,658,2,3,False,0.67,28,75,1,2025-11-05T23:50:04,
user_8758,216bd6de-ed7e-411c-81e2-305626e12bac,Wallet Security 101,877,2,2,False,0.67,27,65,0,2025-11-01T02:41:38,
user_6111,2b9b309e-8d85-4e23-94b6-f7de618bf9b3,DeFi Protocol Tour,1529,2,2,False,0.67,66,62,0,2025-11-05T17:48:56,
user_1672,35c92274-3aa2-4740-831f-63adb630ce0e,Smart Contract Basics,838,3,1,False,1.0,45,68,1,2025-11-25T04:39:19,
user_5425,2550b69d-c4f9-4ce1-a3d2-d1d55fbe30c3,DeFi Protocol Tour,1541,3,1,True,1.0,56,64,1,2025-11-11T16:53:52,
user_7209,7dd70921-debe-44a7-aeaa-bf4dead366c8,Smart Contract Basics,906,2,1,False,0.67,18,50,0,2025-11-11T13:58:35,
user_7658,694ba2c4-9d9b-4bbb-a443-8a328ba207af,DeFi Protocol Tour,1376,3,2,True,1.0,67,79,1,2025-11-28T02:20:15,
user_9698,1e792176-03c8-4674-99d1-d781e1c35148,Smart Contract Basics,963,3,4,False,1.0,30,100,1,2025-11-13T06:55:18,
user_9595,54e6a531-c618-41fd-92f9-0ab0293317b2,DeFi Protocol Tour,702,2,3,True,0.67,32,80,1,2025-11-05T23:54:09,
user_9042,c5a4239d-5ad8-417e-b859-92d730715ab9,Blockchain Fundamentals,312,0,2,False,0.0,33,23,0,2025-11-02T11:14:07,
user_3485,a2b96f5f-4da8-4f84-a300-3f35c73fa4b6,Blockchain Fundamentals,876,2,0,False,0.67,41,43,0,2025-11-21T17:39:49,
user_8253,b21d37c2-9852-4407-a1d9-98f97c860ecd,Smart Contract Basics,1002,2,1,False,0.67,61,56,0,2025-11-26T15:53:38,
user_2229,07e240eb-5801-472f-b4df-3741e342f2ef,Blockchain Fundamentals,718,3,1,False,1.0,30,71,1,2025-11-28T11:55:51,
user_4241,34d197ea-a482-40cb-bab6-35c5462b9221,DeFi Protocol Tour,1157,3,2,False,1.0,50,85,1,2025-11-19T09:43:58,
user_5460,9011a320-fb3c-4d0c-8525-ac0d6ffae77c,DeFi Protocol Tour,1105,2,2,False,0.67,58,68,0,2025-10-31T20:56:47,
user_5415,cfee4af3-a0e1-4748-bf2e-59388961472a,DeFi Protocol Tour,1381,3,1,True,1.0,31,64,1,2025-11-15T10:50:10,
user_3634,32bcdbc9-08d1-44e2-a353-de85089e1e3a,Smart Contract Basics,907,1,2,False,0.33,43,47,0,2025-11-24T20:19:28,
user_1018,4e3b6eb4-1c04-4659-bc60-81a593b41fa7,DeFi Protocol Tour,1155,3,1,True,1.0,30,74,1,2025-11-23T09:30:23,
user_4920,d11dfd6f-5b4b-47a6-a8b3-1d1fcadb3d04,Wallet Security 101,618,1,2,False,0.33,44,44,0,2025-11-14T00:49:11,
user_9337,fe60f704-e3f3-4e09-ad8b-5f795d56fe61,Wallet Security 101,725,1,3,False,0.33,19,55,0,2025-11-20T00:13:09,
user_6568,d94c0424-bf4c-4f28-a363-6adde085a25d,DeFi Risk Assessment,919,2,0,False,0.67,48,52,0,2025-11-16T14:52:29,
user_6446,04a0d45a-a8c5-4a13-977f-1c2d37a60442,DeFi Protocol Tour,1156,1,1,True,0.33,42,36,0,2025-11-18T08:56:34,
user_3492,dc1e23e3-ecee-467e-899a-239b541a4315,DeFi Protocol Tour,637,1,2,True,0.33,22,38,0,2025-11-19T18:26:09,
user_3529,fe9dc7f2-2580-4a67-9eb6-7e0626199692,Blockchain Fundamentals,571,1,0,False,0.33,43,27,0,2025-11-03T04:29:32,
user_4846,8d390a29-ccb2-48be-ba70-10382cd81d5b,DeFi Protocol Tour,1543,3,1,True,1.0,47,69,1,2025-11-01T06:30:08,Found simulated vulnerability (mock)
user_1919,bc45e307-334c-47bf-85aa-b391a064c390,Smart Contract Basics,783,3,2,False,1.0,31,73,1,2025-11-11T03:17:43,
user_8555,00e02a9b-c6b9-41d5-89d5-e48e474472f0,DeFi Protocol Tour,1070,2,1,True,0.67,57,53,0,2025-11-14T09:18:58,
user_7951,1500e568-7df2-43b1-b756-38ced69bdf92,Wallet Security 101,767,2,4,False,0.67,33,92,1,2025-11-19T01:55:24,
user_5497,4a92cb96-1a80-4baa-8d37-c0c2332a52b5,Blockchain Fundamentals,350,0,1,False,0.0,20,21,0,2025-11-12T00:46:39,
user_3240,9b5fdce8-bf51-4a00-9eff-6ee0014798cb,DeFi Protocol Tour,1525,3,2,True,1.0,54,81,1,2025-11-26T01:13:55,
user_6994,5ccca447-280d-45ca-817c-797ac371fb99,DeFi Protocol Tour,1535,2,1,False,0.67,32,55,0,2025-11-06T16:46:12,
user_4696,b5d8d99d-7bda-44d6-9800-dd25dea169a4,DeFi Risk Assessment,1141,2,2,True,0.67,45,59,0,2025-11-28T05:50:17,
user_7086,714d61cf-490f-4a5d-bed1-a2b5471019b2,Blockchain Fundamentals,539,1,1,False,0.33,30,30,0,2025-11-19T16:28:31,
user_2911,2f16c391-1db0-4eb5-a14e-6e90aa0337c5,Blockchain Fundamentals,338,2,1,False,0.67,42,46,0,2025-11-07T08:48:31,
user_7797,5eb0a287-ed3b-4679-a49e-b21eb44397ff,DeFi Protocol Tour,1453,2,1,True,0.67,50,57,0,2025-11-26T07:07:30,
user_6876,d7ddcf0b-8dc8-4a05-b114-bceb4165eda8,Blockchain Fundamentals,582,2,0,True,0.67,33,43,0,2025-11-27T06:33:26,
user_4394,4a2e5990-a7e4-45f4-a7eb-4e9d04aac4de,DeFi Protocol Tour,1432,2,2,True,0.67,42,65,0,2025-11-08T08:04:48,
user_1422,b5ba21cb-feb6-4320-ab32-b882ad94d10b,Blockchain Fundamentals,666,2,2,False,0.67,44,58,0,2025-11-28T16:26:50,
user_2786,1e712b08-48ec-4e33-b96d-606bd062db37,DeFi Protocol Tour,826,1,0,True,0.33,46,28,0,2025-11-19T08:41:39,
user_2768,09b494a1-64a2-42a3-89a7-50baa8544e9f,DeFi Protocol Tour,1531,2,2,False,0.67,66,57,0,2025-11-29T06:08:59,
user_8048,963b74e8-70c5-42f7-a011-4817c3249970,Blockchain Fundamentals,417,0,2,False,0.0,38,28,0,2025-11-19T05:19:50,
user_7815,5a7412dd-3147-452a-9553-c61bb0948f77,Wallet Security 101,620,2,2,True,0.67,19,63,0,2025-11-06T04:22:18,
user_6400,2069ce1f-83a9-4df6-bdae-46ea76f399a4,Wallet Security 101,720,1,1,False,0.33,51,31,0,2025-11-24T11:57:17,
user_4485,974e9d37-eaea-4a8d-ab33-6c28b1f21e4e,Blockchain Fundamentals,793,2,0,False,0.67,55,37,0,2025-11-01T03:21:51,
user_5381,3bbeabdb-a3b2-4b84-923b-bbc16ea73010,Blockchain Fundamentals,579,2,1,True,0.67,52,48,0,2025-11-01T08:29:40,
user_9691,e55d5606-bce5-4e7d-8b24-2ad05c79207c,Blockchain Fundamentals,729,3,1,False,1.0,54,71,1,2025-11-21T09:02:25,
user_7947,9ce8f461-0803-4b7e-8104-5fba95676bf2,DeFi Protocol Tour,1052,3,2,True,1.0,39,80,1,2025-11-02T01:41:29,
user_1897,26e937c2-fc98-4b25-8c65-ba8d78b1ec1d,Blockchain Fundamentals,608,0,2,True,0.0,47,28,0,2025-11-17T01:24:39,
user_1693,d1f7b5d5-ad4c-4388-8c4b-b4fde520a264,DeFi Protocol Tour,1070,1,1,True,0.33,40,31,0,2025-11-08T05:01:23,
user_8538,d390df21-3f76-4664-ae75-90bf610e2bf5,Wallet Security 101,670,2,4,False,0.67,35,83,1,2025-11-05T09:37:37,
user_9693,d2f65b82-8521-4c52-8f90-9857340b9fa0,DeFi Protocol Tour,1527,2,3,True,0.67,37,71,1,2025-11-03T12:34:09,
user_9095,5d568426-8220-4849-8bc4-0bc47080a9ba,DeFi Protocol Tour,1177,1,0,False,0.33,26,19,0,2025-11-13T04:47:39,
user_1920,1a187d3c-6421-428c-b959-48b466d9fa0a,Smart Contract Basics,475,2,1,False,0.67,42,54,0,2025-11-18T12:43:51,
user_8581,3ea0a317-ab8a-4c35-a589-bbfa7a87c246,DeFi Protocol Tour,1577,2,1,True,0.67,32,44,0,2025-11-16T12:54:37,
user_2381,37ca0f39-cfcf-4c11-abde-4f22bf42b6c3,DeFi Protocol Tour,776,1,0,True,0.33,36,29,0,2025-11-28T21:21:50,
user_6482,2c1d7e1e-a63c-4244-86b2-22e792ed7d7c,Blockchain Fundamentals,396,2,1,True,0.67,51,56,0,2025-11-18T21:26:25,
user_2388,e24c4e99-0764-44cc-a085-03953180f6ad,Smart Contract Basics,785,2,0,True,0.67,58,46,0,2025-11-20T10:04:50,
user_1298,3c4d80bb-c810-44df-aa87-c1509cd834dd,Smart Contract Basics,584,1,3,False,0.33,44,57,0,2025-11-25T10:13:48,
user_1618,03573607-442a-44d6-9cf8-fe8c6099805b,Wallet Security 101,1197,3,1,False,1.0,50,60,0,2025-11-01T23:40:54,
user_7731,fc41866e-1d1e-4617-b634-32261899d517,Smart Contract Basics,643,0,2,False,0.0,25,21,0,2025-11-21T06:06:34,
user_8564,f3d5d180-39e6-4a51-91cb-eb87c06062c1,Wallet Security 101,1096,2,2,False,0.67,44,72,0,2025-11-26T18:51:47,
user_2680,dfe6feb1-26b7-4533-9735-193602a0b69a,Wallet Security 101,828,1,3,False,0.33,30,60,0,2025-11-01T03:50:57,
user_7797,d6f97e6b-8d5a-4464-9b09-21c60cdd202c,Blockchain Fundamentals,814,3,3,False,1.0,25,80,1,2025-11-06T13:05:29,
user_1627,9c5171be-b71b-4a6f-8dea-480591e926bd,Smart Contract Basics,883,3,3,False,1.0,52,96,1,2025-11-20T09:54:14,
user_2821,dabc8b23-bd64-4afa-88a5-f02bf12b06b0,Wallet Security 101,543,3,2,False,1.0,13,77,0,2025-11-24T21:13:57,
user_4963,0e8be90b-8319-4ad5-aa09-ddc5cfbd434c,Wallet Security 101,598,2,3,True,0.67,45,64,1,2025-11-24T12:11:58,
user_7397,2c7a11b3-2467-4b5f-9a7e-e54080ef9141,DeFi Risk Assessment,444,1,2,False,0.33,47,44,0,2025-11-16T00:11:19,
user_3185,ef5792df-cd33-4f3f-a85a-1b6028a91f9d,Blockchain Fundamentals,859,3,1,True,1.0,46,73,1,2025-11-09T13:10:32,
user_6170,faa55d7a-a52c-4ee5-bd56-d35bcbec91c3,DeFi Risk Assessment,927,2,2,True,0.67,59,64,0,2025-11-15T23:29:48,
user_7029,0a8fbec0-c573-41fb-81be-b2793d6ba8bc,DeFi Protocol Tour,1009,1,0,True,0.33,24,26,0,2025-11-29T02:41:07,
user_3956,d2474e95-ec0c-427f-aa9f-ad9ffe345aec,DeFi Protocol Tour,928,3,1,True,1.0,40,67,1,2025-11-29T17:07:49,
user_5498,b268b830-a055-4d7e-a9b2-42fca28384d0,DeFi Protocol Tour,1410,2,0,True,0.67,64,40,0,2025-11-05T23:50:42,
user_7001,c867e1d2-fd25-40cb-84fc-df378e5c27be,Smart Contract Basics,980,3,2,False,1.0,39,75,1,2025-11-13T09:28:24,
user_5089,937e0ec3-c344-45e4-9ee6-026406307038,DeFi Risk Assessment,426,0,2,False,0.0,28,23,0,2025-11-09T14:00:03,
user_3009,5445243f-cf68-4ad3-bf3c-cb45c1031053,Blockchain Fundamentals,375,0,2,False,0.0,13,12,0,2025-11-26T13:34:10,
user_9882,83d47ef1-8155-4a72-90da-dbd2d7254faa,Smart Contract Basics,707,0,1,False,0.0,22,20,0,2025-11-17T09:15:04,
user_7044,dcb041b0-0cdb-4d19-b507-2f2da53dfc3a,DeFi Protocol Tour,1164,2,0,True,0.67,58,49,0,2025-11-03T10:42:07,
user_6194,add04222-fe96-4fb7-9288-649abf3d65a6,DeFi Protocol Tour,1060,3,0,True,1.0,52,61,1,2025-11-05T21:26:04,
user_5982,25b6b21e-ba69-4191-b78b-41b11cc2ec25,Blockchain Fundamentals,630,1,3,False,0.33,30,55,0,2025-11-05T22:36:37,
user_5961,46f97498-4463-4b2a-9ab6-00ed22330105,DeFi Protocol Tour,695,1,1,False,0.33,15,47,0,2025-11-27T20:45:48,
user_5336,2d4defa4-d64b-4b13-a817-a83bb9b2402e,DeFi Protocol Tour,1385,3,1,True,1.0,51,75,1,2025-11-14T07:18:43,
