monthly_sip,lump_sum_initial,annual_rate_percent,years,future_value_sip,future_value_lump_sum,total_invested
7612,57643,17.26,30,91207066.71,6842578.62,2797963
5866,0,8.28,25,5880332.69,0.0,1759800
2918,0,8.65,25,3110715.63,0.0,875400
8860,28620,14.28,5,778747.33,55793.24,560220
2122,189462,9.74,5,164512.13,301511.63,316782
5891,0,15.11,25,19738984.93,0.0,1767300
8245,0,17.67,15,7321599.1,0.0,1484100
9550,30847,6.51,5,678705.53,42275.5,603847
1336,32241,17.34,25,6852783.18,1757991.45,433041
5530,37759,9.31,30,10878301.86,545031.19,2028559
4978,0,10.84,25,7698325.72,0.0,1493400
4250,0,15.6,5,387673.25,0.0,255000
4833,0,15.69,10,1405095.7,0.0,579960
9354,0,6.84,5,670764.33,0.0,561240
5093,16250,13.52,10,1296271.24,57741.69,627410
7867,0,9.01,30,14548068.99,0.0,2832120
6415,0,5.51,5,444044.68,0.0,384900
6940,50423,13.76,15,4155475.89,348897.97,1299623
8924,0,6.96,20,4654517.46,0.0,2141760
1221,0,13.78,5,105828.32,0.0,73260
6584,71726,7.08,30,8212864.99,558806.95,2441966
2421,72292,17.19,30,28541396.55,8434426.14,943852
5340,186088,15.45,30,41609045.13,13856109.81,2108488
4773,0,8.69,25,5120843.64,0.0,1431900
9247,0,9.51,10,1856577.86,0.0,1109640
7766,0,7.63,25,7000014.83,0.0,2329800
8154,185215,12.81,25,17903887.32,3772545.0,2631415
3000,0,8.48,15,1091208.12,0.0,540000
7209,0,10.7,25,10888058.37,0.0,2162700
2653,191247,15.61,15,1908364.27,1683777.58,668787
3781,0,7.63,10,681914.65,0.0,453720
8597,181880,5.17,15,2341310.78,387535.43,1729340
6442,0,11.87,30,22104856.21,0.0,2319120
7967,0,7.04,10,1389856.76,0.0,956040
9232,0,15.65,25,34291872.85,0.0,2769600
7766,0,10.98,15,3557633.89,0.0,1397880
1088,145526,16.35,25,4611997.43,6414951.19,471926
5480,186998,16.67,25,24666984.24,8818238.46,1830998
6886,0,11.41,25,11769332.03,0.0,2065800
5794,0,8.81,30,10278192.17,0.0,2085840
4473,147701,5.74,5,311499.79,195258.45,416081
1240,0,8.66,10,237129.64,0.0,148800
5568,0,12.69,15,3003565.98,0.0,1002240
8719,0,16.55,10,2675674.87,0.0,1046280
2348,0,6.51,5,166884.87,0.0,140880
8946,0,8.81,25,9781851.07,0.0,2683800
5823,142793,9.24,30,11300124.25,2024958.03,2239073
6928,0,9.38,20,4897504.82,0.0,1662720
545,0,13.09,25,1258570.32,0.0,163500
7225,0,10.23,10,1512757.91,0.0,867000
6715,60960,12.0,20,6707235.08,587802.08,1672560
1241,193693,15.33,15,868668.17,1646354.94,417073
3257,27602,14.5,30,20323265.18,1603965.91,1200122
9278,120975,12.46,15,4891203.34,703795.7,1791015
4756,0,5.55,5,329574.0,0.0,285360
1182,0,8.86,30,2117687.57,0.0,425520
1599,0,16.6,15,1272110.68,0.0,287820
3802,46457,14.85,25,12130005.61,1478691.45,1187057
8703,136643,12.19,20,8920712.39,1363131.0,2225363
8806,196348,17.26,25,44447193.41,10517338.35,2838148
8924,157672,17.01,20,18088911.63,3651696.8,2299432
1665,0,16.26,15,1279848.24,0.0,299700
4298,0,10.52,25,6288939.12,0.0,1289400
9725,126096,11.66,25,17378590.93,1987557.65,3043596
6094,165517,11.6,5,497115.18,286486.05,531157
2592,46742,17.85,10,863298.31,241543.99,357782
9620,117750,11.31,20,8761344.45,1004191.85,2426550
8707,183214,6.74,25,6805261.69,935162.94,2795314
5520,139565,14.72,25,17189796.92,4318414.93,1795565
1542,0,11.7,10,351960.6,0.0,185040
2381,0,12.41,10,566824.72,0.0,285720
1641,119161,13.86,20,2118358.37,1598070.26,513001
4033,0,13.97,30,22264159.05,0.0,1451880
9149,0,15.9,15,6779955.32,0.0,1646820
4523,195089,7.9,25,4261328.12,1306010.53,1551989
3868,0,15.66,10,1122581.2,0.0,464160
5135,38334,15.59,15,3687736.65,336796.52,962634
729,163040,9.28,25,863720.81,1500578.32,381740
559,185308,9.97,30,1266922.59,3210185.63,386548
8062,74537,9.7,5,624440.71,118434.13,558257
4231,0,14.75,25,13264945.55,0.0,1269300
527,0,8.12,25,514423.86,0.0,158100
5282,83361,6.69,20,2664539.89,304306.9,1351041
7394,25250,15.43,5,671178.2,51741.98,468890
3663,0,16.63,15,2923779.74,0.0,659340
9422,139735,13.94,30,51662539.75,7011523.52,3531655
3146,182722,11.25,25,5228053.38,2625981.97,1126522
4033,0,10.14,20,3146423.99,0.0,967920
9046,0,8.78,20,5916761.85,0.0,2171040
3967,0,14.4,30,24187692.92,0.0,1428120
9777,0,9.13,15,3771506.35,0.0,1759860
2284,0,9.44,25,2779551.63,0.0,685200
9253,68408,10.88,10,2011562.17,192078.36,1178768
6156,0,16.62,5,577998.82,0.0,369360
8449,0,9.53,15,3382509.55,0.0,1520820
1510,0,9.37,5,115913.61,0.0,90600
6908,0,13.4,30,33452628.64,0.0,2486880
9773,0,5.79,5,681539.58,0.0,586380
6059,0,5.35,10,962900.67,0.0,727080
9825,141287,11.6,5,801615.2,244619.61,730787
9244,45857,12.26,5,768098.54,81774.56,600497
2019,196706,15.24,5,182309.61,399840.1,317846
9469,127525,7.39,10,1684958.29,260169.63,1263805
4607,0,6.28,25,3351506.25,0.0,1382100
6908,0,13.81,25,18179225.85,0.0,2072400
678,0,12.54,15,360449.97,0.0,122040
3048,0,15.41,5,276495.65,0.0,182880
7293,123265,6.46,20,3578661.74,431085.87,1873585
4409,29820,16.65,10,1361424.49,139118.41,558900
2983,169062,14.21,20,4046381.2,2412307.76,884982
4161,0,10.28,30,10071477.4,0.0,1497960
4161,0,7.33,30,5448049.53,0.0,1497960
9814,0,5.46,25,6288579.41,0.0,2944200
