id,username,level,xp_points,badge,score
1,Zeta,18,3824,Platinum,42.49
2,Zeta,23,2162,Gold,27.51
3,Foxtrot,20,4276,Silver,1.09
4,Gamma,27,3244,Bronze,95.3
5,Sigma,29,4552,Platinum,62.79
6,Bravo,28,2395,Bronze,18.65
7,Nova,40,316,Platinum,12.55
8,Sigma,46,2903,Bronze,51.43
9,Delta,5,2494,Silver,25.52
10,Zeta,2,2478,Bronze,58.87
11,Charlie,10,4504,Silver,77.25
12,Charlie,30,3281,None,93.67
13,Alpha,15,2879,Silver,54.98
14,Foxtrot,42,1282,Bronze,92.82
15,Sigma,38,1394,Platinum,74.86
16,Zeta,27,2655,Bronze,91.17
17,Delta,36,78,None,78.34
18,Gamma,38,3430,Silver,66.57
19,Gamma,28,3398,None,13.05
20,Echo,23,3536,None,4.65
21,Foxtrot,6,3716,Bronze,21.39
22,Foxtrot,40,717,Gold,48.35
23,Delta,21,4617,None,12.43
24,Charlie,9,2988,Bronze,22.33
25,Delta,8,4260,None,24.55
26,Charlie,15,1314,Silver,32.29
27,Gamma,46,3524,Platinum,25.25
28,Echo,35,1501,Bronze,13.55
29,Echo,50,1191,None,15.32
30,Echo,23,157,Platinum,34.39
31,Zeta,6,1304,Platinum,65.06
32,Nova,16,4379,Gold,71.45
33,Echo,9,563,Silver,15.9
34,Gamma,23,301,Silver,17.07
35,Sigma,13,2210,Silver,29.12
36,Echo,48,3850,Bronze,57.52
37,Gamma,23,3611,Platinum,66.18
38,Bravo,1,902,Gold,53.23
39,Delta,7,3866,Bronze,82.86
40,Charlie,35,252,Bronze,30.12
41,Delta,28,2940,Silver,65.15
42,Echo,22,786,None,52.83
43,Foxtrot,6,3896,Silver,98.03
44,Zeta,43,2860,Platinum,80.96
45,Bravo,17,1718,Platinum,37.34
46,Bravo,21,4460,Gold,53.93
47,Bravo,45,2330,Platinum,65.27
48,Bravo,47,1823,Gold,49.1
49,Alpha,30,2870,Bronze,14.66
50,Gamma,32,1309,Gold,88.62
51,Echo,5,2736,None,85.57
52,Charlie,9,4299,Platinum,31.18
53,Echo,47,1547,Platinum,32.95
54,Bravo,14,1766,Silver,71.08
55,Echo,5,2821,Gold,18.58
56,Foxtrot,8,2118,Silver,14.79
57,Gamma,29,3918,Silver,18.09
58,Foxtrot,22,3160,Platinum,13.02
59,Zeta,50,4620,Gold,77.34
60,Bravo,36,3907,Platinum,66.91
61,Gamma,23,3676,None,13.46
62,Bravo,13,1651,None,61.83
63,Nova,36,2474,Silver,94.75
64,Delta,40,3282,Gold,49.32
65,Nova,28,2793,Platinum,18.31
66,Delta,28,2512,Platinum,19.65
67,Sigma,29,2180,Platinum,74.08
68,Gamma,50,1769,Silver,20.31
69,Charlie,8,1833,Silver,28.7
70,Delta,13,3895,None,18.42
71,Zeta,46,2775,Gold,43.39
72,Nova,10,4831,Gold,62.73
73,Echo,10,3109,Bronze,25.59
74,Charlie,47,3387,Gold,58.99
75,Foxtrot,24,1906,Platinum,46.52
76,Echo,9,157,Platinum,55.19
77,Charlie,45,537,None,43.08
78,Alpha,43,2259,Platinum,59.73
79,Echo,43,2270,Bronze,23.99
80,Sigma,48,818,Gold,47.02
81,Gamma,13,4157,Bronze,86.6
82,Echo,30,4537,None,29.35
83,Delta,19,2937,Platinum,56.57
84,Zeta,44,3579,None,78.52
85,Sigma,4,1097,Gold,98.13
86,Foxtrot,41,3646,None,99.92
87,Delta,32,3114,Bronze,18.51
88,Delta,46,4414,Bronze,37.58
89,Zeta,9,1991,Silver,86.73
90,Echo,42,4845,Platinum,12.46
91,Echo,48,1405,Platinum,42.38
92,Echo,37,3891,Platinum,10.49
93,Echo,13,756,Gold,94.67
94,Foxtrot,41,872,None,72.57
95,Alpha,35,4442,Platinum,59.49
96,Foxtrot,21,4660,Platinum,54.69
97,Delta,50,4871,Bronze,71.74
98,Sigma,40,3644,Platinum,66.49
99,Echo,17,3416,Silver,56.29
100,Nova,36,1549,Silver,29.39
101,Alpha,32,3226,Silver,20.45
102,Nova,41,4963,Bronze,56.76
103,Gamma,31,4595,Platinum,77.32
104,Sigma,16,2303,Gold,15.21
105,Echo,31,2201,None,38.69
106,Sigma,33,3385,Silver,24.09
107,Bravo,1,2467,None,1.12
108,Alpha,20,802,Silver,32.73
109,Gamma,12,1628,Platinum,34.72
110,Nova,17,4502,Bronze,15.91
111,Nova,46,3369,Bronze,55.75
112,Nova,39,233,Gold,97.87
113,Nova,9,2088,Silver,59.69
114,Zeta,33,656,Gold,71.97
115,Sigma,19,708,Bronze,76.31
116,Echo,23,3405,Silver,42.92
117,Foxtrot,8,2617,Silver,21.43
118,Charlie,46,1936,Silver,77.5
119,Charlie,43,3216,Bronze,51.96
120,Gamma,23,4995,None,57.4
121,Bravo,23,2088,None,11.05
122,Foxtrot,42,743,Bronze,22.37
123,Delta,1,3645,None,46.91
124,Bravo,8,3453,Platinum,22.75
125,Delta,12,3974,Bronze,57.78
126,Zeta,25,794,Silver,80.26
127,Alpha,26,3809,Bronze,48.87
128,Bravo,4,3784,Platinum,24.67
129,Echo,12,2209,Silver,17.94
130,Gamma,36,2032,Bronze,66.61
131,Bravo,42,4448,Silver,58.55
132,Gamma,12,1139,Bronze,94.41
133,Charlie,27,3491,Bronze,44.13
134,Nova,13,2131,Bronze,66.64
135,Zeta,19,5,Gold,82.34
136,Bravo,20,1034,Gold,72.1
137,Sigma,39,650,Platinum,23.18
138,Delta,50,1333,Platinum,61.29
139,Gamma,39,3328,Bronze,55.33
140,Echo,42,596,Gold,20.84
141,Delta,17,2061,None,44.38
142,Nova,30,1740,Gold,95.89
143,Bravo,9,3803,Gold,51.76
144,Alpha,31,766,Gold,62.44
145,Zeta,16,1920,Platinum,91.08
146,Alpha,45,3137,Gold,60.35
147,Gamma,29,1443,Platinum,15.56
148,Bravo,21,426,Platinum,45.83
149,Echo,22,1892,Silver,97.35
150,Gamma,39,4003,Bronze,0.04
151,Gamma,42,2287,Gold,31.98
152,Charlie,8,3079,None,77.2
153,Gamma,9,778,Silver,68.36
154,Alpha,36,1314,Platinum,58.51
155,Charlie,27,413,Silver,90.51
156,Zeta,9,3253,Gold,66.48
157,Bravo,21,590,Silver,97.4
158,Charlie,18,2181,Bronze,48.83
159,Nova,48,1041,None,44.65
160,Zeta,41,368,Gold,64.38
161,Foxtrot,22,951,Platinum,88.88
162,Charlie,47,1437,Gold,84.31
163,Nova,2,1396,Gold,4.36
164,Foxtrot,40,2619,None,2.04
165,Delta,18,4423,Bronze,31.07
166,Charlie,8,877,Gold,8.75
167,Gamma,39,892,Silver,66.82
168,Zeta,28,4571,Gold,18.62
169,Alpha,34,4045,Silver,77.02
170,Zeta,6,1426,Platinum,86.87
171,Zeta,41,1601,None,58.53
172,Echo,24,416,None,34.82
173,Bravo,11,1252,Bronze,33.24
174,Charlie,27,1554,Silver,91.08
175,Nova,6,4417,Silver,6.05
176,Zeta,48,790,Gold,73.38
177,Gamma,15,2372,Silver,18.85
178,Delta,5,1917,Silver,89.95
179,Gamma,34,3340,Gold,15.16
180,Alpha,34,3823,Silver,63.61
181,Charlie,31,1720,Platinum,54.11
182,Echo,2,337,Silver,91.34
183,Alpha,49,1212,None,2.02
184,Charlie,36,2693,Silver,89.47
185,Bravo,43,2142,Platinum,7.75
186,Delta,4,2982,Gold,70.96
187,Gamma,25,3634,Platinum,70.66
188,Charlie,38,447,Silver,63.21
189,Zeta,37,2772,None,35.37
190,Zeta,40,471,Bronze,96.38
191,Charlie,47,2787,Bronze,15.04
192,Delta,15,3686,Gold,29.11
193,Nova,17,2535,Gold,88.84
194,Charlie,20,3282,Platinum,35.43
195,Delta,15,3720,None,44.08
196,Delta,45,961,Silver,68.8
